FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/Blood_LDL/GTF3A_500kb.wgt.RDat	GTF3A	13	2.80e+07	2.80e+07	0.1118	rs9554019	 2.74	rs12585587	 0.084538	 -6.32	-0.6667	201	 11	enet	0.07622	 1.75e-09	 0.39437	0.69331
./fusion_twas/WEIGHTS/Blood_LDL/TMCO3_500kb.wgt.RDat	TMCO3	13	1.14e+08	1.14e+08	0.1347	rs7338565	 3.22	rs2993289	 0.021400	  0.00	 0.6270	107	 18	enet	0.07056	 7.04e-09	 1.12574	0.26028
./fusion_twas/WEIGHTS/Blood_LDL/ERCC5_500kb.wgt.RDat	ERCC5	13	1.03e+08	1.04e+08	0.0620	rs1571513	-2.42	rs11069498	 0.044278	 -5.10	 0.9623	307	  3	lasso	0.04024	 1.14e-05	-0.96754	0.33328
./fusion_twas/WEIGHTS/Blood_LDL/CDC16_500kb.wgt.RDat	CDC16	13	1.15e+08	1.15e+08	0.3108	rs7330717	-2.43	rs7324744	 0.465666	 14.31	 0.6452	 39	  5	lasso	0.46651	 6.47e-63	 0.67923	0.49699
./fusion_twas/WEIGHTS/Blood_LDL/DLEU1_500kb.wgt.RDat	DLEU1	13	5.07e+07	5.13e+07	0.1339	rs1198329	-3.64	rs809845	 0.043344	 -4.91	 0.9623	293	293	prs	0.08300	 3.26e-10	-1.63942	0.10113
./fusion_twas/WEIGHTS/Blood_LDL/UGGT2_500kb.wgt.RDat	UGGT2	13	9.65e+07	9.67e+07	0.1769	rs7329790	 2.54	rs2389530	 0.183290	  9.64	 1.2778	176	 10	enet	0.19197	 1.31e-22	 0.62228	0.53376
./fusion_twas/WEIGHTS/Blood_LDL/CRYL1_500kb.wgt.RDat	CRYL1	13	2.10e+07	2.11e+07	0.1040	rs3858744	 2.22	rs9552196	 0.019709	 -4.33	 0.6833	219	219	prs	0.03631	 2.97e-05	 0.35119	0.72544
./fusion_twas/WEIGHTS/Blood_LDL/ATP8A2_500kb.wgt.RDat	ATP8A2	13	2.59e+07	2.66e+07	0.0797	rs2497615	-3.26	rs1048788	 0.018071	 -4.35	 0.5500	295	  2	lasso	0.01638	 3.88e-03	 0.79085	0.42903
./fusion_twas/WEIGHTS/Blood_LDL/SUGT1_500kb.wgt.RDat	SUGT1	13	5.32e+07	5.33e+07	0.0842	rs2806984	 1.81	rs9536061	 0.014174	  4.56	 0.9649	172	172	prs	0.04097	 9.58e-06	-0.79040	0.42929
./fusion_twas/WEIGHTS/Blood_LDL/SUCLA2_500kb.wgt.RDat	SUCLA2	13	4.85e+07	4.86e+07	0.0589	rs2854342	 2.80	rs765809	 0.035730	  4.90	 0.0299	130	  3	lasso	0.02765	 2.44e-04	 0.11682	0.90701
