FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/LIV_LDL/EZR_500kb.wgt.RDat	EZR	6	1.59e+08	1.59e+08	0.2496	rs2485328	 2.93	rs6455604	 0.186139	 10.74	 0.3269	165	  7	lasso	0.24391	 1.14e-33	 0.3487	7.27e-01
./fusion_twas/WEIGHTS/LIV_LDL/RP11-30P6.6_500kb.wgt.RDat	RP11-30P6.6	6	8.61e+07	8.61e+07	0.7284	rs563365	 1.90	rs577388	 0.592637	 17.42	-0.4844	144	  9	enet	0.69287	1.29e-135	-0.7045	4.81e-01
./fusion_twas/WEIGHTS/LIV_LDL/ESR1_500kb.wgt.RDat	ESR1	6	1.52e+08	1.52e+08	0.2203	rs13213582	 3.25	rs851971	 0.154143	  8.98	-0.8571	371	  5	lasso	0.18709	 1.98e-25	-0.9525	3.41e-01
./fusion_twas/WEIGHTS/LIV_LDL/RPL7L1_500kb.wgt.RDat	RPL7L1	6	4.28e+07	4.29e+07	0.1215	rs6941212	-3.31	rs9471853	 0.069889	  0.00	 0.0533	126	 15	enet	0.07814	 4.77e-11	 0.7082	4.79e-01
./fusion_twas/WEIGHTS/LIV_LDL/GJA1_500kb.wgt.RDat	GJA1	6	1.22e+08	1.22e+08	0.0865	rs6932373	-2.19	rs9401418	 0.030175	  5.45	-0.1212	103	  6	enet	0.07957	 3.16e-11	-0.4643	6.42e-01
./fusion_twas/WEIGHTS/LIV_LDL/MBOAT1_500kb.wgt.RDat	MBOAT1	6	2.01e+07	2.02e+07	0.5004	rs6932299	 3.83	rs10447379	 0.213172	 10.61	 0.6744	264	 63	enet	0.35763	 3.74e-52	 0.8049	4.21e-01
./fusion_twas/WEIGHTS/LIV_LDL/ADCY10P1_500kb.wgt.RDat	ADCY10P1	6	4.11e+07	4.11e+07	0.2814	rs9369279	-3.30	rs11969526	 0.313810	 12.93	 0.2262	249	  9	enet	0.34503	 5.93e-50	-0.3051	7.60e-01
./fusion_twas/WEIGHTS/LIV_LDL/TSPYL4_500kb.wgt.RDat	TSPYL4	6	1.17e+08	1.17e+08	0.1128	rs12202641	-5.96	rs9387389	 0.086896	 -6.96	 2.1455	128	 12	enet	0.09869	 1.22e-13	-0.6215	5.34e-01
./fusion_twas/WEIGHTS/LIV_LDL/NUP43_500kb.wgt.RDat	NUP43	6	1.50e+08	1.50e+08	0.1349	rs6937786	-3.82	rs10782310	 0.268560	-11.93	-1.4717	164	  5	lasso	0.27320	 3.74e-38	 1.5343	1.25e-01
./fusion_twas/WEIGHTS/LIV_LDL/DEF6_500kb.wgt.RDat	DEF6	6	3.53e+07	3.53e+07	0.0505	rs7750906	 2.86	rs1108709	 0.022273	  4.59	 2.0746	157	157	blup	0.04786	 2.67e-07	 1.3233	1.86e-01
./fusion_twas/WEIGHTS/LIV_LDL/SLC25A27_500kb.wgt.RDat	SLC25A27	6	4.66e+07	4.66e+07	0.3408	rs9395238	 2.27	rs2270450	 0.305331	 12.53	-0.1379	223	 10	lasso	0.34166	 2.26e-49	-0.1898	8.49e-01
./fusion_twas/WEIGHTS/LIV_LDL/MYLIP_500kb.wgt.RDat	MYLIP	6	1.61e+07	1.61e+07	0.0913	rs2294261	 9.00	rs2480	 0.028621	 -4.67	-7.4222	239	  3	lasso	0.01703	 1.63e-03	 7.5104	5.89e-14
./fusion_twas/WEIGHTS/LIV_LDL/SIRT5_500kb.wgt.RDat	SIRT5	6	1.36e+07	1.36e+07	0.0839	rs9395787	 2.44	rs1990665	-0.000286	  3.93	 0.7838	201	 30	enet	0.02989	 4.23e-05	-0.1118	9.11e-01
./fusion_twas/WEIGHTS/LIV_LDL/FNDC1_500kb.wgt.RDat	FNDC1	6	1.60e+08	1.60e+08	0.2277	rs2485328	 2.93	rs4709326	 0.186458	  9.87	 0.4000	231	  6	lasso	0.19296	 2.96e-26	 0.5013	6.16e-01
./fusion_twas/WEIGHTS/LIV_LDL/PHF3_500kb.wgt.RDat	PHF3	6	6.43e+07	6.45e+07	0.1068	rs1525357	-2.50	rs1525361	 0.004742	 -3.42	-2.1402	 80	 80	blup	0.03155	 2.65e-05	 0.4133	6.79e-01
./fusion_twas/WEIGHTS/LIV_LDL/ACOT13_500kb.wgt.RDat	ACOT13	6	2.47e+07	2.47e+07	0.1670	rs2145753	 3.18	rs1129644	 0.069543	 -6.19	 1.0508	258	 17	enet	0.11533	 8.90e-16	-1.3102	1.90e-01
./fusion_twas/WEIGHTS/LIV_LDL/FUCA2_500kb.wgt.RDat	FUCA2	6	1.44e+08	1.44e+08	0.0627	rs4896611	-2.38	rs17072752	 0.001576	 -3.87	-1.3438	234	  9	enet	0.01244	 6.17e-03	 0.6317	5.28e-01
./fusion_twas/WEIGHTS/LIV_LDL/PKHD1_500kb.wgt.RDat	PKHD1	6	5.15e+07	5.20e+07	0.1061	rs2268718	-4.88	rs728831	 0.097620	  0.00	-0.7561	282	  5	lasso	0.10553	 1.63e-14	-1.2263	2.20e-01
./fusion_twas/WEIGHTS/LIV_LDL/F13A1_500kb.wgt.RDat	F13A1	6	6.14e+06	6.32e+06	0.3772	rs3827783	-3.30	rs3863223	 0.253435	 11.98	 1.9259	360	 24	enet	0.32842	 4.08e-47	 1.1588	2.47e-01
./fusion_twas/WEIGHTS/LIV_LDL/IFNGR1_500kb.wgt.RDat	IFNGR1	6	1.38e+08	1.38e+08	0.3002	rs556742	 2.83	rs9376267	 0.202377	-10.27	-0.1905	177	  5	lasso	0.20003	 2.96e-27	 0.2174	8.28e-01
./fusion_twas/WEIGHTS/LIV_LDL/PHACTR2_500kb.wgt.RDat	PHACTR2	6	1.44e+08	1.44e+08	0.1184	rs7767688	 2.79	rs10484804	 0.018142	  4.95	-1.2812	270	 25	enet	0.07306	 2.06e-10	-0.3544	7.23e-01
