FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/LIV_Crohns/ANGEL1_500kb.wgt.RDat	ANGEL1	14	7.73e+07	7.73e+07	0.0692	rs6574349	 1.95	rs6574333	 0.03950	 5.05	 1.38e+00	 9	 4	enet	0.05744	1.77e-08	 1.2576	2.09e-01
./fusion_twas/WEIGHTS/LIV_Crohns/RPS6KL1_500kb.wgt.RDat	RPS6KL1	14	7.54e+07	7.54e+07	0.0998	rs8006998	 3.36	rs10047892	 0.09236	-7.03	-7.90e-01	 8	 3	lasso	0.08830	2.53e-12	 0.8432	3.99e-01
./fusion_twas/WEIGHTS/LIV_Crohns/GPATCH2L_500kb.wgt.RDat	GPATCH2L	14	7.66e+07	7.67e+07	0.0272	rs17104718	 1.70	rs4903385	 0.02521	 3.73	 4.20e-01	 4	 4	prs	0.02521	1.59e-04	 1.4873	1.37e-01
./fusion_twas/WEIGHTS/LIV_Crohns/SPTSSA_500kb.wgt.RDat	SPTSSA	14	3.49e+07	3.49e+07	0.0497	rs12878219	-3.83	rs712314	 0.03298	 5.15	 1.92e+00	15	15	blup	0.04001	2.44e-06	 2.5899	9.60e-03
./fusion_twas/WEIGHTS/LIV_Crohns/PRMT5_500kb.wgt.RDat	PRMT5	14	2.34e+07	2.34e+07	0.0234	rs17183863	 2.12	rs2254272	 0.02312	-3.61	 2.42e-05	 5	 5	prs	0.02206	3.88e-04	 0.6544	5.13e-01
./fusion_twas/WEIGHTS/LIV_Crohns/PTGR2_500kb.wgt.RDat	PTGR2	14	7.43e+07	7.44e+07	0.1475	rs740505	 1.52	rs740505	 0.11184	-7.67	 1.52e+00	 7	 5	enet	0.13945	6.15e-19	-1.3019	1.93e-01
./fusion_twas/WEIGHTS/LIV_Crohns/DAAM1_500kb.wgt.RDat	DAAM1	14	5.97e+07	5.98e+07	0.0431	rs1998071	-2.91	rs1253035	 0.03617	-4.52	 1.04e+00	 9	 2	lasso	0.03414	1.28e-05	-1.0521	2.93e-01
./fusion_twas/WEIGHTS/LIV_Crohns/GSTZ1_500kb.wgt.RDat	GSTZ1	14	7.78e+07	7.78e+07	0.2693	rs4223	 2.14	rs4223	 0.13123	-8.38	 2.14e+00	10	 8	enet	0.23249	5.77e-32	-3.0751	2.10e-03
./fusion_twas/WEIGHTS/LIV_Crohns/XRCC3_500kb.wgt.RDat	XRCC3	14	1.04e+08	1.04e+08	0.0593	rs17617994	-3.54	rs12886637	 0.05411	 5.43	 2.79e-01	16	 3	lasso	0.06844	7.72e-10	-0.6286	5.30e-01
./fusion_twas/WEIGHTS/LIV_Crohns/CLEC14A_500kb.wgt.RDat	CLEC14A	14	3.87e+07	3.87e+07	0.0229	rs12896790	 2.29	rs928102	 0.02200	 3.74	 9.17e-01	 4	 1	enet	0.02315	2.85e-04	 0.9166	3.59e-01
