FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/Blood_Crohns/ANGEL1_500kb.wgt.RDat	ANGEL1	14	7.73e+07	7.73e+07	0.0819	rs6574349	 1.950	rs8020289	 0.016173	 -4.48	-0.7538	 9	 2	lasso	0.05228	6.14e-07	 1.3712	1.70e-01
./fusion_twas/WEIGHTS/Blood_Crohns/COQ6_500kb.wgt.RDat	COQ6	14	7.44e+07	7.44e+07	0.0394	rs740505	 1.519	rs740505	 0.034480	 -4.46	 1.5195	 6	 1	lasso	0.02712	2.77e-04	-1.5195	1.29e-01
./fusion_twas/WEIGHTS/Blood_Crohns/SERPINA1_500kb.wgt.RDat	SERPINA1	14	9.48e+07	9.49e+07	0.0858	rs2069956	-1.419	rs3790036	 0.001142	  3.48	-1.0135	17	13	enet	0.02437	5.43e-04	-1.6464	9.97e-02
./fusion_twas/WEIGHTS/Blood_Crohns/TRAF3_500kb.wgt.RDat	TRAF3	14	1.03e+08	1.03e+08	0.0988	rs12148050	 1.539	rs12148050	 0.095096	  6.69	 1.5387	 3	 3	prs	0.09166	3.76e-11	 1.2529	2.10e-01
./fusion_twas/WEIGHTS/Blood_Crohns/GSTZ1_500kb.wgt.RDat	GSTZ1	14	7.78e+07	7.78e+07	0.0503	rs4223	 2.143	rs70165	 0.006893	 -3.08	-1.4201	10	10	prs	0.03224	7.96e-05	 2.3707	1.78e-02
./fusion_twas/WEIGHTS/Blood_Crohns/XRCC3_500kb.wgt.RDat	XRCC3	14	1.04e+08	1.04e+08	0.0743	rs17617994	-3.539	rs12432907	 0.037770	 -4.54	 1.6399	16	 6	lasso	0.03100	1.08e-04	-1.5035	1.33e-01
./fusion_twas/WEIGHTS/Blood_Crohns/TC2N_500kb.wgt.RDat	TC2N	14	9.22e+07	9.23e+07	0.0566	rs17184173	 1.362	rs2160080	 0.041659	  4.44	 1.2703	 8	 2	lasso	0.04875	1.45e-06	 0.8024	4.22e-01
./fusion_twas/WEIGHTS/Blood_Crohns/MLH3_500kb.wgt.RDat	MLH3	14	7.55e+07	7.55e+07	0.0335	rs2300605	-3.927	rs10047892	-0.002188	 -2.63	-0.7901	11	11	blup	0.01844	2.33e-03	 0.6548	5.13e-01
./fusion_twas/WEIGHTS/Blood_Crohns/TDRD9_500kb.wgt.RDat	TDRD9	14	1.04e+08	1.05e+08	0.1518	rs17617994	-3.539	rs12886745	 0.104732	  6.92	 0.0353	17	 2	lasso	0.10131	3.34e-12	-0.0919	9.27e-01
./fusion_twas/WEIGHTS/Blood_Crohns/TMX1_500kb.wgt.RDat	TMX1	14	5.17e+07	5.17e+07	0.0585	rs4243569	 1.044	rs875204	 0.030132	 -3.94	 0.2827	10	10	blup	0.02979	1.45e-04	-0.3874	6.98e-01
./fusion_twas/WEIGHTS/Blood_Crohns/RPGRIP1_500kb.wgt.RDat	RPGRIP1	14	2.18e+07	2.18e+07	0.0449	rs17792599	 1.972	rs4981369	 0.047978	 -4.70	-0.5857	 4	 1	lasso	0.04704	2.20e-06	 0.5857	5.58e-01
./fusion_twas/WEIGHTS/Blood_Crohns/CCNB1IP1_500kb.wgt.RDat	CCNB1IP1	14	2.08e+07	2.08e+07	0.0903	rs12588573	-1.755	rs3093930	 0.033190	 -4.03	 0.2207	12	 8	enet	0.03568	3.46e-05	-1.1455	2.52e-01
./fusion_twas/WEIGHTS/Blood_Crohns/CLMN_500kb.wgt.RDat	CLMN	14	9.56e+07	9.58e+07	0.0742	rs7148498	 1.742	rs2144817	 0.067431	 -5.71	 1.6678	 7	 3	lasso	0.06504	2.73e-08	-1.6398	1.01e-01
./fusion_twas/WEIGHTS/Blood_Crohns/GALC_500kb.wgt.RDat	GALC	14	8.83e+07	8.85e+07	0.1181	rs11159833	 7.477	rs17687109	 0.071627	 -5.80	 0.2911	64	 4	lasso	0.05458	3.51e-07	-0.3935	6.94e-01
./fusion_twas/WEIGHTS/Blood_Crohns/FAM177A1_500kb.wgt.RDat	FAM177A1	14	3.55e+07	3.56e+07	0.0731	rs10147645	 4.945	rs734008	 0.026774	  4.61	-1.6923	59	 6	lasso	0.04856	1.52e-06	-0.7914	4.29e-01
./fusion_twas/WEIGHTS/Blood_Crohns/CPSF2_500kb.wgt.RDat	CPSF2	14	9.26e+07	9.26e+07	0.0558	rs17184173	 1.362	rs7151632	 0.001540	  3.47	-0.3911	 7	 7	blup	0.02207	9.52e-04	-0.3767	7.06e-01
./fusion_twas/WEIGHTS/Blood_Crohns/PPP2R5E_500kb.wgt.RDat	PPP2R5E	14	6.38e+07	6.40e+07	0.0224	rs1255639	 1.211	rs1255639	 0.017785	 -3.05	 1.2113	 2	 2	prs	0.02289	7.79e-04	-1.0003	3.17e-01
./fusion_twas/WEIGHTS/Blood_Crohns/KLC1_500kb.wgt.RDat	KLC1	14	1.04e+08	1.04e+08	0.0447	rs17617994	-3.539	rs722637	 0.051665	  5.43	 0.1176	16	16	prs	0.06587	2.23e-08	 0.3651	7.15e-01
./fusion_twas/WEIGHTS/Blood_Crohns/TMEM63C_500kb.wgt.RDat	TMEM63C	14	7.76e+07	7.77e+07	0.0618	rs4223	 2.143	rs17749908	 0.039340	  4.35	 0.7432	11	 4	enet	0.04469	3.88e-06	 0.9606	3.37e-01
./fusion_twas/WEIGHTS/Blood_Crohns/NFKBIA_500kb.wgt.RDat	NFKBIA	14	3.59e+07	3.59e+07	0.0892	rs10147645	 4.945	rs11848309	 0.029437	  4.81	 1.0461	53	 4	enet	0.05712	1.89e-07	 3.5760	3.49e-04
./fusion_twas/WEIGHTS/Blood_Crohns/DDX24_500kb.wgt.RDat	DDX24	14	9.45e+07	9.45e+07	0.0371	rs2236245	-1.328	rs3790036	 0.010357	 -3.67	-1.0135	15	15	prs	0.03167	9.17e-05	 0.6455	5.19e-01
./fusion_twas/WEIGHTS/Blood_Crohns/GMPR2_500kb.wgt.RDat	GMPR2	14	2.47e+07	2.47e+07	0.0336	rs1033844	 1.771	rs1033844	 0.025842	  3.75	 1.7708	 7	 7	blup	0.02068	1.34e-03	 1.8957	5.80e-02
./fusion_twas/WEIGHTS/Blood_Crohns/RP11-73M18.10_500kb.wgt.RDat	RP11-73M18.10	14	1.04e+08	1.04e+08	0.0791	rs17617994	-3.539	rs12886637	 0.107195	  7.24	 0.2791	16	 3	lasso	0.11202	2.21e-13	-0.1912	8.48e-01
./fusion_twas/WEIGHTS/Blood_Crohns/PCNX_500kb.wgt.RDat	PCNX	14	7.14e+07	7.16e+07	0.1788	rs3814871	 2.529	rs4902874	 0.082704	 -6.18	-1.3756	 8	 5	lasso	0.13114	1.62e-15	-0.2611	7.94e-01
./fusion_twas/WEIGHTS/Blood_Crohns/L2HGDH_500kb.wgt.RDat	L2HGDH	14	5.07e+07	5.08e+07	0.0289	rs7148089	 1.662	rs2355659	-0.001138	 -2.58	-1.5931	 2	 2	enet	0.01237	1.06e-02	 2.4152	1.57e-02
./fusion_twas/WEIGHTS/Blood_Crohns/TRAV8-1_500kb.wgt.RDat	TRAV8-1	14	2.23e+07	2.23e+07	0.0739	rs17792599	 1.972	rs17792599	 0.052669	  0.00	 1.9721	 6	 2	enet	0.04781	1.82e-06	 0.1645	8.69e-01
./fusion_twas/WEIGHTS/Blood_Crohns/NOP9_500kb.wgt.RDat	NOP9	14	2.48e+07	2.48e+07	0.0402	rs1033844	 1.771	rs3181384	 0.040135	 -4.38	-1.0550	 8	 1	lasso	0.03899	1.55e-05	 1.0550	2.91e-01
./fusion_twas/WEIGHTS/Blood_Crohns/DHRS1_500kb.wgt.RDat	DHRS1	14	2.48e+07	2.48e+07	0.0477	rs1033844	 1.771	rs3181384	 0.036629	 -4.27	-1.0550	 7	 1	enet	0.04026	1.14e-05	 1.0550	2.91e-01
./fusion_twas/WEIGHTS/Blood_Crohns/RALGAPA1_500kb.wgt.RDat	RALGAPA1	14	3.60e+07	3.63e+07	0.1233	rs10147645	 4.945	rs8019741	 0.069930	  0.00	-0.9729	42	 2	lasso	0.07409	2.95e-09	-2.8048	5.03e-03
./fusion_twas/WEIGHTS/Blood_Crohns/KLHDC1_500kb.wgt.RDat	KLHDC1	14	5.02e+07	5.02e+07	0.0219	rs10146912	 1.762	rs12890086	 0.025438	  3.67	 1.6163	 3	 3	prs	0.02474	4.95e-04	 1.8682	6.17e-02
./fusion_twas/WEIGHTS/Blood_Crohns/KIAA0391_500kb.wgt.RDat	KIAA0391	14	3.56e+07	3.58e+07	0.0676	rs10147645	 4.945	rs8019741	 0.047896	  5.53	-0.9729	59	 4	lasso	0.06823	1.25e-08	-1.2799	2.01e-01
./fusion_twas/WEIGHTS/Blood_Crohns/DCAF4_500kb.wgt.RDat	DCAF4	14	7.34e+07	7.34e+07	0.0825	rs1035021	-2.626	rs1035021	 0.025634	 -5.06	-2.6261	 9	 9	prs	0.08072	5.74e-10	 0.9699	3.32e-01
./fusion_twas/WEIGHTS/Blood_Crohns/CFL2_500kb.wgt.RDat	CFL2	14	3.52e+07	3.52e+07	0.1131	rs12878219	-3.834	rs811340	-0.001972	  3.02	-1.3171	33	22	enet	0.02515	4.48e-04	 1.6897	9.11e-02
